filename,emotion,emotion_intensity,statement,repretition,actor_id,gender_int,Average fundamental frequency in voiced segments,Standard deviation of fundamental frequency in Hz,Variablity of fundamental frequency in semitones,Maximum of the fundamental frequency in Hz,Average energy in dB,Standard deviation of energy in dB,Maximum energy,Voiced rate (number of voiced segments per second),Average duration of voiced segments,Standard deviation of duration of voiced segments,Pause rate (number of pauses per second),Average duration of pauses,Standard deviation of duration of pauses ,Average tilt of fundamental frequency,Tilt regularity of fundamental frequency,Mean square error of the reconstructed F0 with a 1-degree polynomial,(Silence duration)/(Voiced+Unvoiced durations),(Voiced duration)/(Unvoiced durations),(Unvoiced duration)/(Voiced+Unvoiced durations),(Voiced duration)/(Voiced+Unvoiced durations),(Voiced duration)/(Silence durations),(Unvoiced duration)/(Silence durations),Unvoiced duration Regularity,Unvoiced energy Regularity,Voiced duration Regularity,Voiced energy Regularity,Pause duration Regularity,Maximum duration of voiced segments,Maximum duration of unvoiced segments,Minimum duration of voiced segments,Minimum duration of unvoiced segments,rate (# of voiced segments) / (# of unvoiced segments),Average tilt of energy contour,Regression coefficient between the energy contour and a linear regression,Mean square error of the reconstructed energy contour with a 1-degree polynomial,Regression coefficient between the F0 contour and a linear regression,Average Delta energy within consecutive voiced segments,Standard deviation of Delta energy within consecutive voiced segments
03-01-07-02-01-01-02,7,2,1,1,2,0,2.520843353271484375e+02,2.536561393737792969e+01,6.857893561587758313e+01,3.210657958984375000e+02,-5.267857257117021419e+01,3.519407096081130959e+01,-8.548347633292133096e+00,8.373383108444033551e-01,1.750000000000000000e+02,8.500000000000000000e+01,1.256007466266604977e+00,5.900000000000000000e+02,4.495182606598609141e+02,-1.974993781090039480e-01,1.462153119277543212e+00,2.259736613393355498e+01,1.442105263157894779e+00,2.392857142857142350e+00,2.947368421052631859e-01,7.052631578947368141e-01,4.890510948905109623e-01,2.043795620437956484e-01,4.472135954999579416e-02,1.024890238025516487e-01,9.879542092724411972e+00,1.444145857491589524e+00,4.849999999999999867e-01,2.899999999999999800e-01,1.300000000000000044e-01,2.000000000000000042e-02,1.000000000000000021e-02,1.250000000000000000e+00,5.271902496124545312e-01,5.383484046145274871e-01,6.761086248994222387e+02,4.416429227951530478e-01,2.180645697442762376e+00,1.375186291921829174e+00
03-01-02-02-02-01-02,2,2,2,1,2,0,2.457655181884765625e+02,1.926726531982421875e+01,5.805760136321487153e+01,2.818103637695312500e+02,-4.721981638725937103e+01,3.284608105785766696e+01,-9.400339390752980862e+00,8.370535714285713969e-01,2.500000000000000000e+02,1.500000000000000000e+02,1.255580357142857206e+00,4.700000000000000000e+02,3.894440481849307503e+02,-4.012045717318970528e-01,9.958391642446474679e-01,3.961794692610811097e+01,1.070796460176991038e+00,6.062500000000000000e+00,1.415929203539822989e-01,8.584070796460177011e-01,8.016528925619835766e-01,1.322314049586776896e-01,6.999999999999999278e-02,1.442990721460890857e-01,1.114653520119203378e+01,2.322354273151834292e+00,4.150000000000000355e-01,4.400000000000000022e-01,1.499999999999999944e-01,1.199999999999999956e-01,1.000000000000000021e-02,1.500000000000000000e+00,-1.329867179910405040e-01,-3.782529896794125657e-01,2.260919683660118551e+02,5.751647779087900592e-01,5.636294478476996161e+00,0.000000000000000000e+00
03-01-08-02-01-02-02,8,2,1,2,2,0,2.341006774902343750e+02,2.807026290893554688e+01,7.208697954721141343e+01,3.048180541992187500e+02,-4.469018202540908646e+01,3.107324178089130484e+01,-8.233094928853603278e+00,1.674107142857142794e+00,1.250000000000000000e+02,7.297259759663212719e+01,2.092633928571428381e+00,3.120000000000000000e+02,4.277101822496163095e+02,4.737747918000595471e-01,2.191933070139715500e+00,4.926015489478756137e+01,9.999999999999997780e-01,2.314285714285714057e+00,3.017241379310344751e-01,6.982758620689655249e-01,6.982758620689656359e-01,3.017241379310345306e-01,4.560701700396551511e-02,5.153639490690049840e-02,6.393212082951009734e+00,2.377093000599303174e+00,0.000000000000000000e+00,2.500000000000000000e-01,1.499999999999999944e-01,1.100000000000000006e-01,1.000000000000000021e-02,1.000000000000000000e+00,6.356502933691449142e-02,1.068438249638323650e-01,3.525586802889395699e+02,6.025526478493259397e-01,2.031378304658959522e+00,8.086070315677975628e-01
03-01-04-02-02-01-02,4,2,2,1,2,0,2.455245971679687500e+02,3.632335281372070312e+01,8.201149474404741113e+01,3.455032043457031250e+02,-4.846953256127271459e+01,3.402402533020017472e+01,-7.519300190275341578e+00,1.255580357142857206e+00,3.333333333333333144e+02,2.043417616532547072e+02,1.674107142857142794e+00,3.150000000000000000e+02,4.159627387158614056e+02,1.128227741754564306e+00,3.200146288249423154e+00,7.492543414456268636e+01,7.862595419847328015e-01,4.695652173913043015e+00,1.755725190839694805e-01,8.244274809160305750e-01,1.048543689320388328e+00,2.233009708737864474e-01,5.312459150169743238e-02,2.350886357667394400e-01,9.378965205981586450e+00,4.884018718472528775e+00,0.000000000000000000e+00,5.600000000000000533e-01,1.400000000000000133e-01,2.999999999999999889e-02,1.000000000000000021e-02,1.000000000000000000e+00,-1.621120717697913105e-01,-9.697020312251705132e-01,2.693577138061166352e+02,5.440365184629030182e-01,3.269453223730966585e+00,0.000000000000000000e+00
03-01-06-01-02-01-02,6,1,2,1,2,0,2.799243164062500000e+02,6.100858306884765625e+01,1.009662510984710053e+02,3.458939514160156250e+02,-4.332739134513856527e+01,2.962360167604046879e+01,-9.082209165186272415e+00,1.674107142857142794e+00,2.000000000000000000e+02,1.656804152578089031e+02,2.092633928571428381e+00,2.640000000000000000e+02,3.912339453575060020e+02,-1.283585586455647132e+00,1.539070324886971042e+00,3.575535664514134169e+02,8.125000000000000000e-01,3.923076923076922906e+00,2.031250000000000000e-01,7.968750000000000000e-01,9.807692307692307265e-01,2.500000000000000000e-01,4.664761515876240244e-02,1.762498226949462954e-01,6.507956542431054814e+00,4.458791386671526524e+00,0.000000000000000000e+00,5.500000000000000444e-01,1.300000000000000044e-01,5.999999999999999778e-02,1.000000000000000021e-02,1.000000000000000000e+00,-7.836739205224511895e-02,-2.470799757372690586e-01,3.662667216000457415e+02,6.870339253661223999e-01,9.242539771368967649e+00,3.055273974118570379e+00
03-01-07-01-02-02-02,7,1,2,2,2,0,2.104967651367187500e+02,2.575379753112792969e+01,6.910480205550048538e+01,2.815472717285156250e+02,-4.999598991667155445e+01,3.662201224102609842e+01,-9.034620951174446191e+00,8.370535714285713969e-01,5.000000000000000000e+02,9.000000000000000000e+01,1.255580357142857206e+00,4.266666666666666856e+02,4.274212078136610558e+02,-8.700377222679659406e-01,7.421730547855867055e-01,6.396317181501412819e+01,1.108108108108107892e+00,2.119999999999999929e+01,4.504504504504504292e-02,9.549549549549549710e-01,8.617886178861788871e-01,4.065040650406504669e-02,1.500000000000000118e-02,2.309882151876055112e-01,1.125047089801614320e+01,2.880464527582256906e+00,4.150000000000000355e-01,5.899999999999999689e-01,4.000000000000000083e-02,4.000000000000000083e-02,1.000000000000000021e-02,1.500000000000000000e+00,-2.687018442917553096e-01,-9.479355444439310219e-01,1.835344373344041458e+02,5.940975444680477446e-01,1.398231491938235038e+00,0.000000000000000000e+00
03-01-01-01-02-01-02,1,1,2,1,2,0,2.297298126220703125e+02,3.893482208251953125e+01,8.441542252403114333e+01,3.171796264648437500e+02,-5.064726915522330586e+01,3.563808392481086429e+01,-8.964871836729717103e+00,8.370535714285713969e-01,1.750000000000000000e+02,9.500000000000000000e+01,1.255580357142857206e+00,4.333333333333333144e+02,4.224005471376927403e+02,-4.128302587893215581e+00,7.972144398409387378e+00,1.392388792920351079e+02,7.923076923076922684e-01,4.416666666666666963e+00,1.846153846153845979e-01,8.153846153846153744e-01,1.029126213592232997e+00,2.330097087378640575e-01,5.196152422706631913e-02,8.674675786448736436e-02,9.492172512425183228e+00,2.438676828113975237e+00,0.000000000000000000e+00,3.500000000000000333e-01,1.300000000000000044e-01,1.199999999999999956e-01,1.000000000000000021e-02,1.000000000000000000e+00,-3.630678113716054867e-01,-7.919303594839600668e-01,1.432840284570925462e+02,6.130203885767304683e-01,3.141401562817641491e+00,2.523913482482438297e+00
03-01-05-02-02-02-02,5,2,2,2,2,0,2.388635406494140625e+02,5.287319564819335938e+01,9.601083433013968715e+01,3.419468688964843750e+02,-5.145072437590804526e+01,3.525649498927801062e+01,-9.558196214710253713e+00,2.092633928571428381e+00,1.540000000000000000e+02,8.867919710958145174e+01,2.511160714285714413e+00,2.433333333333333428e+02,3.518364519047009367e+02,1.784857557306971154e+00,3.752040004899198422e+00,3.358345703175170343e+02,1.099999999999999867e+00,4.789473684210526550e+00,1.727272727272727015e-01,8.272727272727272707e-01,7.520661157024793875e-01,1.570247933884297564e-01,4.815340071064555527e-02,5.756638679723515006e-02,1.037863938311353174e+01,1.431419978355785716e+00,4.150000000000000355e-01,2.300000000000000100e-01,1.300000000000000044e-01,8.000000000000000167e-02,1.000000000000000021e-02,1.500000000000000000e+00,7.944728142941687166e-02,6.658903421800844991e-02,3.446457711419715793e+02,5.821685371027265354e-01,2.091652610223782904e+00,9.609622254134424502e-01
03-01-03-01-01-02-02,3,1,1,2,2,0,2.328366851806640625e+02,3.891153335571289062e+01,8.439470569648904075e+01,3.292156982421875000e+02,-4.982172534034248201e+01,3.233736576174969457e+01,-9.989830734101159848e+00,1.674107142857142794e+00,2.500000000000000000e+02,1.592168332809065987e+02,2.092633928571428381e+00,2.520000000000000000e+02,4.142656152759965948e+02,-2.930223378445801607e+00,4.826275929693655264e+00,2.208076523124579182e+01,8.709677419354839856e-01,5.888888888888889284e+00,1.451612903225806273e-01,8.548387096774193727e-01,9.814814814814815103e-01,1.666666666666666574e-01,1.854723699099140866e-02,1.643654464904348578e-01,6.367863741284174317e+00,3.163121387237206150e+00,0.000000000000000000e+00,5.200000000000000178e-01,5.999999999999999778e-02,2.999999999999999889e-02,1.000000000000000021e-02,1.000000000000000000e+00,-2.192535183497932305e-01,-4.903965791103562788e-01,2.671898211758508523e+02,6.382333457702757951e-01,2.146195341051157612e+00,1.647751245903332773e+00
03-01-04-01-02-01-02,4,1,2,1,2,0,2.194000701904296875e+02,2.308917617797851562e+01,6.532315848278813064e+01,2.804639892578125000e+02,-4.894702924704441926e+01,3.189148614375148938e+01,-7.841859305237795397e+00,1.255580357142857206e+00,3.033333333333333144e+02,2.075786330258702037e+02,1.674107142857142794e+00,3.150000000000000000e+02,4.087480886805465730e+02,-1.792634758361837832e+00,7.314539026452828718e-01,2.058230105338338234e+01,7.786259541984733579e-01,5.549999999999998934e+00,1.526717557251908719e-01,8.473282442748091281e-01,1.088235294117646967e+00,1.960784313725490169e-01,4.183300132670377675e-02,1.880658129485526520e-01,1.092366276750845522e+01,3.705655479205332448e+00,0.000000000000000000e+00,5.799999999999999600e-01,1.199999999999999956e-01,1.100000000000000006e-01,1.000000000000000021e-02,1.000000000000000000e+00,-2.800148913985702204e-01,-9.280922825346400451e-01,2.258508435305662942e+02,6.309747371373799485e-01,4.871485577188684246e+00,1.893719550073514668e+00
