Feature,P-value,F-val,Significance
MFCC[5],0.0,244.02,Significant
MFCC[3],0.0,198.11,Significant
MFCC[4],0.0,190.94,Significant
Variablity of fundamental frequency in semitones,0.0,172.5,Significant
Average fundamental frequency in voiced segments,0.0,156.8,Significant
MFCC[6],0.0,139.38,Significant
Mean square error of the reconstructed F0 with a 1-degree polynomial,0.0,111.06,Significant
MFCC[2],0.0,109.12,Significant
Tilt regularity of fundamental frequency,0.0,93.64,Significant
Standard deviation of energy in dB,0.0,77.61,Significant
MFCC[23],0.0,55.65,Significant
MFCC[22],0.0,42.29,Significant
MFCC[11],0.0,40.53,Significant
Regression coefficient between the energy contour and a linear regression,0.0,39.78,Significant
MFCC[21],0.0,35.28,Significant
Minimum duration of voiced segments,0.0,34.56,Significant
MFCC[9],0.0,34.41,Significant
MFCC[20],0.0,31.87,Significant
Average duration of voiced segments,0.0,28.97,Significant
MFCC[26],0.0,26.23,Significant
MFCC[24],0.0,26.02,Significant
Average tilt of energy contour,0.0,24.37,Significant
MFCC[40],0.0,23.85,Significant
Mean square error of the reconstructed energy contour with a 1-degree polynomial,0.0,23.53,Significant
Voiced energy Regularity,0.0,23.04,Significant
MFCC[25],0.0,22.6,Significant
Standard deviation of duration of pauses ,0.0,21.25,Significant
MFCC[28],0.0,19.88,Significant
Average Delta energy within consecutive voiced segments,0.0,18.59,Significant
Average duration of pauses,0.0,18.55,Significant
MFCC[8],0.0,16.56,Significant
Standard deviation of Delta energy within consecutive voiced segments,0.0,16.45,Significant
MFCC[39],0.0,14.97,Significant
(Unvoiced duration)/(Silence durations),1e-06,14.54,Significant
MFCC[16],4e-06,12.49,Significant
MFCC[15],5e-06,12.41,Significant
MFCC[12],5e-06,12.27,Significant
MFCC[13],7e-06,12.01,Significant
Unvoiced energy Regularity,1.1e-05,11.55,Significant
MFCC[10],2e-05,10.92,Significant
MFCC[27],3.5e-05,10.34,Significant
MFCC[7],0.001491,6.54,Significant
MFCC[14],0.001503,6.53,Significant
MFCC[19],0.003125,5.79,Significant
Average tilt of fundamental frequency,0.008275,4.81,Significant
Maximum energy,0.010136,4.61,Significant
(Silence duration)/(Voiced+Unvoiced durations),0.017791,4.04,Significant
MFCC[18],0.029245,3.54,Significant
(Voiced duration)/(Unvoiced durations),0.03701,3.3,Significant
MFCC[38],0.065799,2.73,Not Significant
Regression coefficient between the F0 contour and a linear regression,0.074933,2.6,Not Significant
Voiced duration Regularity,0.105321,2.25,Not Significant
Pause duration Regularity,0.12352,2.09,Not Significant
MFCC[33],0.154586,1.87,Not Significant
MFCC[17],0.198755,1.62,Not Significant
MFCC[30],0.200302,1.61,Not Significant
MFCC[29],0.22988,1.47,Not Significant
rate (# of voiced segments) / (# of unvoiced segments),0.256647,1.36,Not Significant
MFCC[35],0.272651,1.3,Not Significant
MFCC[36],0.333476,1.1,Not Significant
Unvoiced duration Regularity,0.496547,0.7,Not Significant
MFCC[34],0.522939,0.65,Not Significant
MFCC[31],0.558736,0.58,Not Significant
Standard deviation of duration of voiced segments,0.853041,0.16,Not Significant
MFCC[32],0.962663,0.04,Not Significant
MFCC[37],0.988266,0.01,Not Significant
