Feature,P-value,F-val,Significance
MFCC[3],0.0,147.84,Significant
MFCC[2],0.0,109.89,Significant
MFCC[6],0.0,76.64,Significant
Pause duration Regularity,0.0,68.49,Significant
(Silence duration)/(Voiced+Unvoiced durations),0.0,61.83,Significant
Average fundamental frequency in voiced segments,0.0,49.9,Significant
Regression coefficient between the F0 contour and a linear regression,0.0,48.64,Significant
MFCC[9],0.0,41.19,Significant
Unvoiced energy Regularity,0.0,40.9,Significant
Regression coefficient between the energy contour and a linear regression,0.0,36.13,Significant
rate (# of voiced segments) / (# of unvoiced segments),0.0,34.43,Significant
Mean square error of the reconstructed energy contour with a 1-degree polynomial,0.0,32.64,Significant
Average Delta energy within consecutive voiced segments,0.0,30.8,Significant
MFCC[4],0.0,28.37,Significant
Voiced energy Regularity,0.0,23.97,Significant
MFCC[7],0.0,23.56,Significant
Average tilt of energy contour,0.0,21.94,Significant
MFCC[8],0.0,21.26,Significant
Minimum duration of voiced segments,0.0,19.66,Significant
MFCC[5],0.0,18.99,Significant
Variablity of fundamental frequency in semitones,0.0,16.54,Significant
MFCC[11],1e-06,14.63,Significant
MFCC[20],2e-06,13.4,Significant
MFCC[23],2e-06,13.33,Significant
MFCC[21],3e-06,12.73,Significant
MFCC[26],5e-06,12.39,Significant
MFCC[25],6e-06,12.2,Significant
MFCC[24],7e-06,11.99,Significant
Standard deviation of Delta energy within consecutive voiced segments,8e-06,11.78,Significant
MFCC[18],1.1e-05,11.49,Significant
Average duration of voiced segments,1.9e-05,10.98,Significant
Average duration of pauses,3.9e-05,10.22,Significant
Standard deviation of duration of pauses ,0.000122,9.07,Significant
MFCC[10],0.00021,8.52,Significant
Standard deviation of energy in dB,0.000217,8.48,Significant
MFCC[27],0.000382,7.91,Significant
MFCC[33],0.001378,6.62,Significant
MFCC[12],0.001614,6.46,Significant
Voiced duration Regularity,0.001651,6.44,Significant
Standard deviation of duration of voiced segments,0.003674,5.63,Significant
Tilt regularity of fundamental frequency,0.005137,5.29,Significant
MFCC[13],0.009926,4.63,Significant
Mean square error of the reconstructed F0 with a 1-degree polynomial,0.011152,4.51,Significant
MFCC[16],0.014677,4.23,Significant
MFCC[14],0.022218,3.82,Significant
MFCC[35],0.023174,3.77,Significant
MFCC[29],0.031211,3.48,Significant
MFCC[22],0.033596,3.4,Significant
MFCC[30],0.045858,3.09,Significant
MFCC[39],0.04693,3.07,Significant
MFCC[31],0.048992,3.02,Significant
Average tilt of fundamental frequency,0.07771,2.56,Not Significant
MFCC[37],0.080224,2.53,Not Significant
MFCC[36],0.082327,2.5,Not Significant
MFCC[28],0.099261,2.31,Not Significant
(Unvoiced duration)/(Silence durations),0.101083,2.3,Not Significant
MFCC[17],0.157984,1.85,Not Significant
MFCC[40],0.206952,1.58,Not Significant
MFCC[34],0.221238,1.51,Not Significant
(Voiced duration)/(Unvoiced durations),0.298139,1.21,Not Significant
MFCC[15],0.341521,1.08,Not Significant
MFCC[32],0.400786,0.91,Not Significant
MFCC[38],0.568095,0.57,Not Significant
Maximum energy,0.611909,0.49,Not Significant
Unvoiced duration Regularity,0.733542,0.31,Not Significant
MFCC[19],0.773369,0.26,Not Significant
