Feature,P-value,F-val,Significance
MFCC[1],0.0,352.0,Significant
MFCC[3],0.0,155.21,Significant
MFCC[6],0.0,78.08,Significant
MFCC[31],0.0,77.58,Significant
MFCC[32],0.0,65.91,Significant
MFCC[2],0.0,54.13,Significant
MFCC[5],0.0,48.76,Significant
MFCC[9],0.0,47.87,Significant
MFCC[30],0.0,40.69,Significant
MFCC[4],0.0,36.03,Significant
MFCC[39],0.0,35.6,Significant
MFCC[36],0.0,31.16,Significant
MFCC[40],0.0,29.54,Significant
MFCC[8],0.0,28.0,Significant
MFCC[37],0.0,27.75,Significant
MFCC[19],0.0,25.41,Significant
MFCC[28],0.0,24.09,Significant
MFCC[11],0.0,23.73,Significant
MFCC[7],0.0,23.09,Significant
MFCC[34],0.0,22.38,Significant
MFCC[35],0.0,21.24,Significant
MFCC[38],0.0,20.76,Significant
MFCC[24],0.0,20.5,Significant
MFCC[16],0.0,20.22,Significant
MFCC[29],0.0,19.27,Significant
MFCC[26],0.0,18.64,Significant
MFCC[23],0.0,17.89,Significant
MFCC[33],0.0,17.86,Significant
MFCC[25],0.0,16.62,Significant
MFCC[15],0.0,14.7,Significant
MFCC[20],0.0,14.27,Significant
MFCC[14],0.0,14.26,Significant
MFCC[12],0.0,13.39,Significant
MFCC[27],0.0,11.78,Significant
MFCC[18],0.0,10.69,Significant
MFCC[22],0.0,10.09,Significant
MFCC[17],0.0,9.9,Significant
MFCC[21],0.0,8.17,Significant
MFCC[13],0.0,6.91,Significant
MFCC[10],0.0,6.7,Significant
