Feature,P-value,F-val,Significance
MFCC[31],0.0,486.81,Significant
MFCC[32],0.0,348.46,Significant
MFCC[1],0.0,319.04,Significant
MFCC[36],0.0,220.18,Significant
MFCC[34],0.0,184.21,Significant
MFCC[30],0.0,149.2,Significant
MFCC[37],0.0,141.01,Significant
MFCC[35],0.0,136.05,Significant
MFCC[38],0.0,109.16,Significant
MFCC[39],0.0,88.52,Significant
MFCC[33],0.0,86.15,Significant
MFCC[3],0.0,76.38,Significant
MFCC[19],0.0,53.66,Significant
MFCC[40],0.0,30.82,Significant
MFCC[6],0.0,27.84,Significant
MFCC[20],0.0,27.12,Significant
MFCC[25],0.0,23.8,Significant
MFCC[15],0.0,21.77,Significant
MFCC[22],0.0,21.66,Significant
MFCC[7],0.0,20.51,Significant
MFCC[24],0.0,20.42,Significant
MFCC[9],0.0,18.31,Significant
MFCC[21],0.0,16.94,Significant
MFCC[14],0.0,16.51,Significant
MFCC[16],0.0,15.31,Significant
MFCC[8],0.0,15.3,Significant
MFCC[28],0.0,13.32,Significant
MFCC[18],0.0,12.85,Significant
MFCC[2],0.0,12.13,Significant
MFCC[27],0.0,10.77,Significant
MFCC[17],0.0,10.57,Significant
MFCC[29],0.0,10.38,Significant
MFCC[23],0.0,9.57,Significant
MFCC[5],0.0,9.21,Significant
MFCC[26],0.0,7.94,Significant
MFCC[12],2e-06,7.05,Significant
MFCC[11],9e-06,6.3,Significant
MFCC[10],5.1e-05,5.51,Significant
MFCC[4],0.00081,4.24,Significant
MFCC[13],0.493724,0.88,Not Significant
