Feature,P-value,F-val,Significance
MFCC[1],0.0,445.17,Significant
MFCC[33],0.0,124.54,Significant
MFCC[38],0.0,122.15,Significant
MFCC[34],0.0,109.8,Significant
MFCC[3],0.0,98.65,Significant
MFCC[36],0.0,67.29,Significant
MFCC[37],0.0,65.67,Significant
MFCC[39],0.0,65.17,Significant
MFCC[40],0.0,60.67,Significant
MFCC[6],0.0,46.37,Significant
MFCC[31],0.0,45.14,Significant
MFCC[35],0.0,41.59,Significant
MFCC[24],0.0,40.77,Significant
MFCC[32],0.0,37.65,Significant
MFCC[30],0.0,30.01,Significant
MFCC[15],0.0,21.31,Significant
MFCC[29],0.0,20.41,Significant
MFCC[28],0.0,19.7,Significant
MFCC[21],0.0,18.88,Significant
MFCC[22],0.0,14.74,Significant
MFCC[5],2e-06,13.2,Significant
MFCC[8],3e-06,13.04,Significant
MFCC[12],6e-06,12.11,Significant
MFCC[18],1.1e-05,11.55,Significant
MFCC[23],6.9e-05,9.67,Significant
MFCC[17],0.000108,9.22,Significant
MFCC[7],0.000123,9.08,Significant
MFCC[9],0.000129,9.04,Significant
MFCC[25],0.000152,8.87,Significant
MFCC[11],0.000222,8.48,Significant
MFCC[26],0.001027,6.93,Significant
MFCC[10],0.006494,5.06,Significant
MFCC[20],0.009125,4.72,Significant
MFCC[2],0.019348,3.96,Significant
MFCC[19],0.054962,2.91,Not Significant
MFCC[4],0.114984,2.17,Not Significant
MFCC[14],0.205734,1.58,Not Significant
MFCC[27],0.241312,1.42,Not Significant
MFCC[16],0.301306,1.2,Not Significant
MFCC[13],0.59903,0.51,Not Significant
