Feature,P-value,F-val,Significance
Average duration of voiced segments,0.0,151.1,Significant
Tilt regularity of fundamental frequency,0.0,127.67,Significant
Maximum of the fundamental frequency in Hz,0.0,121.21,Significant
Minimum duration of voiced segments,0.0,95.23,Significant
Average energy in dB,0.0,94.69,Significant
Average fundamental frequency in voiced segments,0.0,82.52,Significant
Standard deviation of fundamental frequency in Hz,0.0,81.56,Significant
Standard deviation of duration of pauses ,0.0,54.96,Significant
Average duration of pauses,0.0,52.64,Significant
Standard deviation of energy in dB,0.0,52.4,Significant
Mean square error of the reconstructed F0 with a 1-degree polynomial,0.0,48.33,Significant
Voiced energy Regularity,0.0,45.57,Significant
Average Delta energy within consecutive voiced segments,0.0,34.48,Significant
Standard deviation of Delta energy within consecutive voiced segments,0.0,34.22,Significant
(Voiced duration)/(Silence durations),0.0,27.98,Significant
Maximum energy,0.0,20.99,Significant
(Unvoiced duration)/(Silence durations),0.0,17.23,Significant
Voiced duration Regularity,0.0,15.03,Significant
Unvoiced energy Regularity,6e-06,12.14,Significant
(Voiced duration)/(Unvoiced durations),2e-05,10.89,Significant
Regression coefficient between the F0 contour and a linear regression,0.000139,8.91,Significant
Mean square error of the reconstructed energy contour with a 1-degree polynomial,0.000497,7.63,Significant
Pause duration Regularity,0.002463,6.02,Significant
Regression coefficient between the energy contour and a linear regression,0.0077,4.88,Significant
rate (# of voiced segments) / (# of unvoiced segments),0.017074,4.08,Significant
(Silence duration)/(Voiced+Unvoiced durations),0.055379,2.9,Not Significant
Average tilt of energy contour,0.095671,2.35,Not Significant
Standard deviation of duration of voiced segments,0.226568,1.49,Not Significant
Average tilt of fundamental frequency,0.301888,1.2,Not Significant
Unvoiced duration Regularity,0.932012,0.07,Not Significant
