Feature,P-value,F-val,Significance
(Voiced duration)/(Silence durations),0.0,104.97,Significant
(Silence duration)/(Voiced+Unvoiced durations),0.0,78.2,Significant
Pause duration Regularity,0.0,63.99,Significant
Maximum of the fundamental frequency in Hz,0.0,60.07,Significant
Regression coefficient between the F0 contour and a linear regression,0.0,59.85,Significant
Average energy in dB,0.0,53.3,Significant
Standard deviation of fundamental frequency in Hz,0.0,51.33,Significant
Tilt regularity of fundamental frequency,0.0,50.23,Significant
Average duration of voiced segments,0.0,49.99,Significant
Minimum duration of voiced segments,0.0,47.77,Significant
Average fundamental frequency in voiced segments,0.0,40.54,Significant
Average duration of pauses,0.0,30.73,Significant
Voiced energy Regularity,0.0,30.16,Significant
rate (# of voiced segments) / (# of unvoiced segments),0.0,28.4,Significant
Mean square error of the reconstructed F0 with a 1-degree polynomial,0.0,27.53,Significant
Average Delta energy within consecutive voiced segments,0.0,26.47,Significant
Standard deviation of energy in dB,0.0,25.84,Significant
Standard deviation of duration of pauses ,0.0,24.07,Significant
Standard deviation of Delta energy within consecutive voiced segments,0.0,19.68,Significant
Unvoiced energy Regularity,0.0,15.37,Significant
Maximum energy,0.0,12.17,Significant
Voiced duration Regularity,0.0,10.43,Significant
Regression coefficient between the energy contour and a linear regression,0.0,9.6,Significant
(Unvoiced duration)/(Silence durations),0.0,9.07,Significant
Standard deviation of duration of voiced segments,0.0,7.63,Significant
Mean square error of the reconstructed energy contour with a 1-degree polynomial,0.0,7.16,Significant
(Voiced duration)/(Unvoiced durations),6.6e-05,4.43,Significant
Average tilt of fundamental frequency,0.000236,3.99,Significant
Average tilt of energy contour,0.002496,3.16,Significant
Unvoiced duration Regularity,0.92915,0.35,Not Significant
